Input,Output Albicans GeneID,Paralog count,Name,Merged
CLUG_00150,C2_05450C_A,1,MDJ2,CLUG_00150 (MDJ2)
CLUG_00152,C2_05460W_A,0,CDC19,CLUG_00152 (CDC19)
CLUG_00153,C2_05470W_A,0,COQ5,CLUG_00153 (COQ5)
CLUG_00154,C2_03980C_A,0,MED1,CLUG_00154 (MED1)
CLUG_00155,C2_03990W_A,0,GCD7,CLUG_00155 (GCD7)
CLUG_00156,C3_01930W_A,2,PXP2,CLUG_00156 (PXP2)
CLUG_00158,C2_04020C_A,0,SDS22,CLUG_00158 (SDS22)
CLUG_00159,C1_06060C_A,1,ACP1,CLUG_00159 (ACP1)
CLUG_00160,C2_04040C_A,1,DCK2,CLUG_00160 (DCK2)
CLUG_00161,C1_07120W_A,12,GAP4,CLUG_00161 (GAP4)
CLUG_00162,C1_07120W_A,12,GAP4,CLUG_00162 (GAP4)
CLUG_00163,C2_04780W_A,4,N/A,CLUG_00163
CLUG_00164,C1_08230C_A,4,PLB5,CLUG_00164 (PLB5)
CLUG_00165,C1_08290C_A,0,DIP2,CLUG_00165 (DIP2)
CLUG_00167,C1_08260C_A,0,LTP1,CLUG_00167 (LTP1)
CLUG_00168,C1_08300W_A,1,NOT5,CLUG_00168 (NOT5)
CLUG_00169,C1_08310W_A,0,OPY2,CLUG_00169 (OPY2)
CLUG_00170,C1_08320W_A,0,TKL1,CLUG_00170 (TKL1)
CLUG_00171,C1_08330C_A,4,ADH2,CLUG_00171 (ADH2)
CLUG_00174,C5_00220W_A,0,ROT2,CLUG_00174 (ROT2)
CLUG_00175,C5_00220W_A,0,ROT2,CLUG_00175 (ROT2)
CLUG_00176,C1_08360C_A,1,OLE1,CLUG_00176 (OLE1)
CLUG_00177,C1_08370W_A,0,SDS24,CLUG_00177 (SDS24)
CLUG_00178,C1_08380W_A,1,TEF2,CLUG_00178 (TEF2)
CLUG_00179,C1_08400C_A,0,GCV2,CLUG_00179 (GCV2)
CLUG_00180,C1_08390C_A,0,N/A,CLUG_00180
CLUG_00182,C1_06790C_A,0,MRPL19,CLUG_00182 (MRPL19)
CLUG_00183,C1_06780W_A,2,NPR1,CLUG_00183 (NPR1)
CLUG_00184,C1_06770W_A,0,N/A,CLUG_00184
CLUG_00186,C1_06740C_A,0,NOP6,CLUG_00186 (NOP6)
CLUG_00187,C1_06730W_A,0,RAC1,CLUG_00187 (RAC1)
CLUG_00189,C4_03390W_A,0,CSH3,CLUG_00189 (CSH3)
CLUG_00191,C4_03430W_A,0,MOH1,CLUG_00191 (MOH1)
CLUG_00192,C4_03440C_A,0,DOT4,CLUG_00192 (DOT4)
CLUG_00193,C4_03450C_A,0,JAB1,CLUG_00193 (JAB1)
CLUG_00194,C4_03460C_A,0,N/A,CLUG_00194
CLUG_00195,C2_10540W_A,2,MIG2,CLUG_00195 (MIG2)
CLUG_00196,C2_10550C_A,0,GCN1,CLUG_00196 (GCN1)
CLUG_00197,C2_10550C_A,0,GCN1,CLUG_00197 (GCN1)
CLUG_00198,C4_01130C_A,0,N/A,CLUG_00198
CLUG_00199,C2_10560C_A,0,ZSF1,CLUG_00199 (ZSF1)
CLUG_00201,C2_10570W_A,0,SGS1,CLUG_00201 (SGS1)
CLUG_00202,C2_10580W_A,0,UBC15,CLUG_00202 (UBC15)
CLUG_00203,C3_02640C_A,0,ZCF1,CLUG_00203 (ZCF1)
CLUG_00205,C2_10610W_A,1,GYP5,CLUG_00205 (GYP5)
CLUG_00206,C1_01640W_A,1,RPS42,CLUG_00206 (RPS42)
CLUG_00207,C2_10630W_A,0,N/A,CLUG_00207
CLUG_00209,C2_10670W_A,0,N/A,CLUG_00209
CLUG_00210,C2_10680W_A,0,N/A,CLUG_00210
CLUG_00211,C3_07460W_A,0,N/A,CLUG_00211
CLUG_00213,C3_07480W_A,0,N/A,CLUG_00213
CLUG_00214,C3_07490W_A,0,N/A,CLUG_00214
CLUG_00215,C3_07500W_A,1,VAN1,CLUG_00215 (VAN1)
CLUG_00216,C3_07350W_A,0,N/A,CLUG_00216
CLUG_00217,C3_06490W_A,0,N/A,CLUG_00217
CLUG_00218,C2_06890C_A,5,N/A,CLUG_00218
CLUG_00220,C3_07320W_A,0,MDS3,CLUG_00220 (MDS3)
CLUG_00221,C1_05740C_A,15,N/A,CLUG_00221
CLUG_00223,C1_08330C_A,4,ADH2,CLUG_00223 (ADH2)
CLUG_00224,C3_07300W_A,0,NOP13,CLUG_00224 (NOP13)
CLUG_00225,C1_10460W_A,0,N/A,CLUG_00225
CLUG_00226,C1_10470W_A,0,N/A,CLUG_00226
CLUG_00227,C1_10480W_A,1,DJP1,CLUG_00227 (DJP1)
CLUG_00228,C1_10500W_A,1,N/A,CLUG_00228
CLUG_00231,C4_06460C_A,0,N/A,CLUG_00231
CLUG_00232,C4_06450W_A,0,N/A,CLUG_00232
CLUG_00233,C1_09230C_A,7,GRP1,CLUG_00233 (GRP1)
CLUG_00234,C1_00630W_A,3,N/A,CLUG_00234
CLUG_00235,C2_09140C_A,0,MET10,CLUG_00235 (MET10)
CLUG_00238,C2_09140C_A,0,MET10,CLUG_00238 (MET10)
CLUG_00239,C2_09140C_A,0,MET10,CLUG_00239 (MET10)
CLUG_00242,C1_09080C_A,2,PGA6,CLUG_00242 (PGA6)
CLUG_00243,C1_09880C_A,0,BUD31,CLUG_00243 (BUD31)
CLUG_00244,C3_00670C_A,0,FKH2,CLUG_00244 (FKH2)
CLUG_00245,C1_09860C_A,0,TFA1,CLUG_00245 (TFA1)
CLUG_00246,C3_04260W_A,0,N/A,CLUG_00246
CLUG_00247,C1_07430W_A,0,PHO100,CLUG_00247 (PHO100)
CLUG_00248,C1_11870W_A,0,MUP1,CLUG_00248 (MUP1)
CLUG_00249,C4_00030C_A,0,N/A,CLUG_00249
CLUG_00250,C4_00020W_A,0,VMA6,CLUG_00250 (VMA6)
CLUG_00251,C2_06620W_A,0,N/A,CLUG_00251
CLUG_00252,C2_00350W_A,1,RAD5,CLUG_00252 (RAD5)
CLUG_00253,C2_00350W_A,1,RAD5,CLUG_00253 (RAD5)
CLUG_00254,C4_00630C_A,0,SEC72,CLUG_00254 (SEC72)
CLUG_00256,C4_00650W_A,0,HIS5,CLUG_00256 (HIS5)
CLUG_00258,C4_00670W_A,0,TOK1,CLUG_00258 (TOK1)
CLUG_00259,C4_00680W_A,0,N/A,CLUG_00259
CLUG_00261,C4_00490W_A,1,N/A,CLUG_00261
CLUG_00262,C4_00610W_A,1,N/A,CLUG_00262
CLUG_00263,C4_00470C_A,0,N/A,CLUG_00263
CLUG_00264,C1_04700C_A,2,N/A,CLUG_00264
CLUG_00265,C4_00060W_A,0,N/A,CLUG_00265
CLUG_00266,C4_00040W_A,0,CNH1,CLUG_00266 (CNH1)
CLUG_00267,C4_00160C_A,1,CAR2,CLUG_00267 (CAR2)
CLUG_00268,C4_00170W_A,0,N/A,CLUG_00268
CLUG_00269,C4_00180W_A,0,ECM7,CLUG_00269 (ECM7)
CLUG_00271,C4_00200C_A,0,MET15,CLUG_00271 (MET15)
CLUG_00272,C4_00210W_A,0,N/A,CLUG_00272
CLUG_00273,C4_00220C_A,0,SUB2,CLUG_00273 (SUB2)
CLUG_00275,C4_00250W_A,0,N/A,CLUG_00275
CLUG_00276,C4_00240C_A,0,PRO3,CLUG_00276 (PRO3)
CLUG_00277,C4_00260W_A,0,N/A,CLUG_00277
CLUG_00278,C4_00270W_A,0,ATP2,CLUG_00278 (ATP2)
CLUG_00279,CR_01560W_A,0,N/A,CLUG_00279
CLUG_00280,CR_01550C_A,0,N/A,CLUG_00280
CLUG_00281,CR_01540W_A,0,SAS3,CLUG_00281 (SAS3)
CLUG_00282,CR_01520W_A,0,PTC2,CLUG_00282 (PTC2)
CLUG_00283,CR_01500W_A,0,PIN4,CLUG_00283 (PIN4)
CLUG_00285,CR_01480W_A,0,PRS,CLUG_00285 (PRS)
CLUG_00286,C1_05740C_A,15,N/A,CLUG_00286
CLUG_00287,CR_03250C_A,0,N/A,CLUG_00287
CLUG_00288,CR_03240C_A,0,N/A,CLUG_00288
CLUG_00289,CR_03230W_A,0,SQS1,CLUG_00289 (SQS1)
CLUG_00290,C1_05740C_A,15,N/A,CLUG_00290
CLUG_00291,CR_03220C_A,0,ATG4,CLUG_00291 (ATG4)
CLUG_00292,CR_03210C_A,0,SSU72,CLUG_00292 (SSU72)
CLUG_00293,CR_03200C_A,0,N/A,CLUG_00293
CLUG_00294,C1_08060W_A,0,OFR1,CLUG_00294 (OFR1)
CLUG_00296,C6_00170C_A,0,N/A,CLUG_00296
CLUG_00297,C6_00180C_A,0,N/A,CLUG_00297
CLUG_00298,C6_00190W_A,0,RTT106,CLUG_00298 (RTT106)
CLUG_00299,C6_00200C_A,0,NUO3,CLUG_00299 (NUO3)
CLUG_00300,C2_00340C_A,1,ARO8,CLUG_00300 (ARO8)
CLUG_00301,C6_00240C_A,0,N/A,CLUG_00301
CLUG_00302,C6_00250W_A,0,N/A,CLUG_00302
CLUG_00303,C6_00260W_A,0,N/A,CLUG_00303
CLUG_00304,C5_04930C_A,0,MAL31,CLUG_00304 (MAL31)
CLUG_00305,CR_09210W_A,0,SUC1,CLUG_00305 (SUC1)
CLUG_00306,C6_00140C_A,0,HPA2,CLUG_00306 (HPA2)
CLUG_00307,C1_00520W_A,0,N/A,CLUG_00307
CLUG_00308,C1_00390W_A,1,ENA2,CLUG_00308 (ENA2)
CLUG_00309,C1_00390W_A,1,ENA2,CLUG_00309 (ENA2)
CLUG_00311,C1_00380C_A,0,NAA25,CLUG_00311 (NAA25)
CLUG_00313,C2_01950C_A,0,AMN1,CLUG_00313 (AMN1)
CLUG_00314,C2_01970C_A,0,ROD1,CLUG_00314 (ROD1)
CLUG_00315,C2_02210C_A,0,TLG2,CLUG_00315 (TLG2)
CLUG_00317,C2_01990C_A,0,FAB1,CLUG_00317 (FAB1)
CLUG_00318,C2_02000W_A,0,N/A,CLUG_00318
CLUG_00319,C2_02010C_A,0,CHT4,CLUG_00319 (CHT4)
CLUG_00320,C2_02020W_A,0,N/A,CLUG_00320
CLUG_00321,C1_05110C_A,1,ARO4,CLUG_00321 (ARO4)
CLUG_00322,C1_05080W_A,7,GPT1,CLUG_00322 (GPT1)
CLUG_00323,C1_00830W_A,3,N/A,CLUG_00323
CLUG_00324,C2_00520W_A,1,DFG5,CLUG_00324 (DFG5)
CLUG_00326,C2_00510W_A,0,N/A,CLUG_00326
CLUG_00327,C2_00500W_A,0,ZCF9,CLUG_00327 (ZCF9)
CLUG_00328,C2_07880W_A,0,APM4,CLUG_00328 (APM4)
CLUG_00329,C2_00480C_A,0,PHHB,CLUG_00329 (PHHB)
CLUG_00330,C2_00470W_A,0,POM152,CLUG_00330 (POM152)
CLUG_00331,C2_00410C_A,0,N/A,CLUG_00331
CLUG_00332,C2_00420W_A,0,N/A,CLUG_00332
CLUG_00333,C2_00430C_A,0,DPB4,CLUG_00333 (DPB4)
CLUG_00334,C2_00440W_A,0,SAS2,CLUG_00334 (SAS2)
CLUG_00335,C2_00350W_A,1,RAD5,CLUG_00335 (RAD5)
CLUG_00336,C2_00350W_A,1,RAD5,CLUG_00336 (RAD5)
CLUG_00337,C2_00570W_A,0,RSC58,CLUG_00337 (RSC58)
CLUG_00338,C1_13840W_A,3,N/A,CLUG_00338
CLUG_00340,C2_00600C_A,1,N/A,CLUG_00340
CLUG_00341,C4_01940W_A,0,PHO89,CLUG_00341 (PHO89)
CLUG_00342,C4_01950W_A,0,N/A,CLUG_00342
CLUG_00344,C4_01970W_A,0,N/A,CLUG_00344
CLUG_00345,C4_01980C_A,0,CLC1,CLUG_00345 (CLC1)
CLUG_00346,C4_02850W_A,0,N/A,CLUG_00346
CLUG_00347,C4_02830C_A,0,HCA4,CLUG_00347 (HCA4)
CLUG_00348,C4_02800W_A,0,RPC53,CLUG_00348 (RPC53)
CLUG_00349,C4_02790C_A,0,SAS10,CLUG_00349 (SAS10)
CLUG_00350,C4_02780W_A,0,N/A,CLUG_00350
CLUG_00351,C4_02770C_A,0,CDC123,CLUG_00351 (CDC123)
CLUG_00352,C1_07120W_A,12,GAP4,CLUG_00352 (GAP4)
CLUG_00353,C4_02760C_A,0,CGR1,CLUG_00353 (CGR1)
CLUG_00354,C4_02750W_A,0,HIT1,CLUG_00354 (HIT1)
CLUG_00357,C3_01330W_A,2,ZCF8,CLUG_00357 (ZCF8)
CLUG_00359,C2_10540W_A,2,MIG2,CLUG_00359 (MIG2)
CLUG_00361,CR_07240C_A,0,CLG1,CLUG_00361 (CLG1)
CLUG_00363,C2_04780W_A,4,N/A,CLUG_00363
CLUG_00365,CR_07510W_A,0,N/A,CLUG_00365
CLUG_00366,CR_07520C_A,0,YPT31,CLUG_00366 (YPT31)
CLUG_00367,C4_06500W_A,0,CDC68,CLUG_00367 (CDC68)
CLUG_00368,C4_06490C_A,0,PRI2,CLUG_00368 (PRI2)
CLUG_00369,C4_06510C_A,0,CSO99,CLUG_00369 (CSO99)
CLUG_00370,C1_05990C_A,1,N/A,CLUG_00370
CLUG_00371,C3_01280W_A,0,N/A,CLUG_00371
CLUG_00372,C3_01300C_A,0,NCE103,CLUG_00372 (NCE103)
CLUG_00373,C3_01310W_A,0,N/A,CLUG_00373
CLUG_00374,C3_01320C_A,0,SGA1,CLUG_00374 (SGA1)
CLUG_00375,CR_02380C_A,0,N/A,CLUG_00375
CLUG_00377,C4_01530C_A,1,ERG251,CLUG_00377 (ERG251)
CLUG_00378,C3_03440C_A,0,N/A,CLUG_00378
CLUG_00380,C4_06360C_A,3,N/A,CLUG_00380
CLUG_00382,CR_03180W_A,0,N/A,CLUG_00382
CLUG_00383,C2_00450C_A,0,CDH1,CLUG_00383 (CDH1)
CLUG_00384,C3_05340W_A,0,DIE2,CLUG_00384 (DIE2)
CLUG_00385,C1_07870C_A,1,SMI1,CLUG_00385 (SMI1)
CLUG_00386,CR_05200C_A,0,N/A,CLUG_00386
CLUG_00388,CR_01570W_A,0,N/A,CLUG_00388
CLUG_00390,CR_01590C_A,0,TRP2,CLUG_00390 (TRP2)
CLUG_00391,CR_01600C_A,0,N/A,CLUG_00391
CLUG_00392,CR_06680C_A,0,N/A,CLUG_00392
CLUG_00393,CR_01610C_A,0,SHP1,CLUG_00393 (SHP1)
CLUG_00395,CR_01620C_A,0,MET6,CLUG_00395 (MET6)
CLUG_00396,C1_00210C_A,0,N/A,CLUG_00396
CLUG_00398,C1_00220W_A,2,PHR2,CLUG_00398 (PHR2)
CLUG_00399,C1_00220W_A,2,PHR2,CLUG_00399 (PHR2)
CLUG_00401,C1_02420C_A,2,GSC1,CLUG_00401 (GSC1)
CLUG_00402,C1_02420C_A,2,GSC1,CLUG_00402 (GSC1)
CLUG_00403,C1_02420C_A,2,GSC1,CLUG_00403 (GSC1)
CLUG_00404,C2_00140W_A,1,NDT80,CLUG_00404 (NDT80)
CLUG_00406,C2_00150W_A,2,LEU5,CLUG_00406 (LEU5)
CLUG_00407,C2_00160C_A,0,NAT2,CLUG_00407 (NAT2)
CLUG_00408,C2_00170C_A,0,HMA1,CLUG_00408 (HMA1)
CLUG_00409,C7_00490C_A,0,N/A,CLUG_00409
CLUG_00411,C7_00530C_A,0,PSF3,CLUG_00411 (PSF3)
CLUG_00412,C7_00520W_A,0,N/A,CLUG_00412
CLUG_00414,C2_06610C_A,2,N/A,CLUG_00414
CLUG_00415,C2_05100C_A,0,ERF1,CLUG_00415 (ERF1)
CLUG_00416,C2_05090W_A,0,MAK5,CLUG_00416 (MAK5)
CLUG_00417,C3_03120C_A,4,DAL5,CLUG_00417 (DAL5)
CLUG_00418,C2_05080C_A,0,N/A,CLUG_00418
CLUG_00419,C1_01980W_A,10,HGT1,CLUG_00419 (HGT1)
CLUG_00420,C1_01980W_A,10,HGT1,CLUG_00420 (HGT1)
CLUG_00421,C1_01980W_A,10,HGT1,CLUG_00421 (HGT1)
CLUG_00422,C2_05250C_A,2,AAT1,CLUG_00422 (AAT1)
CLUG_00423,CR_02820W_A,0,PGM2,CLUG_00423 (PGM2)
CLUG_00424,C4_05880W_A,1,GAT1,CLUG_00424 (GAT1)
CLUG_00427,C1_07570C_A,2,N/A,CLUG_00427
CLUG_00428,CR_01370C_A,0,N/A,CLUG_00428
CLUG_00429,CR_01360W_A,0,N/A,CLUG_00429
CLUG_00430,CR_01350C_A,0,N/A,CLUG_00430
CLUG_00431,CR_01330W_A,1,CPA2,CLUG_00431 (CPA2)
CLUG_00432,C2_05280C_A,0,GPI19,CLUG_00432 (GPI19)
CLUG_00433,C2_05270W_A,0,N/A,CLUG_00433
CLUG_00434,C2_05260W_A,0,BUD14,CLUG_00434 (BUD14)
CLUG_00435,C1_09400C_A,3,FTH1,CLUG_00435 (FTH1)
CLUG_00436,C1_04700C_A,2,N/A,CLUG_00436
CLUG_00437,CR_01320C_A,0,N/A,CLUG_00437
CLUG_00438,CR_01280C_A,0,NPC2,CLUG_00438 (NPC2)
CLUG_00440,C1_04680W_A,1,PIL1,CLUG_00440 (PIL1)
CLUG_00441,C1_04670W_A,0,HAT1,CLUG_00441 (HAT1)
CLUG_00442,C1_04660W_A,0,"DUR1,2","CLUG_00442 (DUR1,2)"
CLUG_00443,C1_04650W_A,4,DUR3,CLUG_00443 (DUR3)
CLUG_00444,C2_04250W_A,0,VPS36,CLUG_00444 (VPS36)
CLUG_00445,C2_04240C_A,0,HYM1,CLUG_00445 (HYM1)
CLUG_00446,C2_04230W_A,1,BAT21,CLUG_00446 (BAT21)
CLUG_00447,C2_03910C_A,0,N/A,CLUG_00447
CLUG_00450,C7_03040W_A,2,N/A,CLUG_00450
CLUG_00451,C5_03820C_A,0,BUD7,CLUG_00451 (BUD7)
CLUG_00453,C7_03070C_A,0,CYR1,CLUG_00453 (CYR1)
CLUG_00454,C1_07120W_A,12,GAP4,CLUG_00454 (GAP4)
CLUG_00455,CR_05050W_A,0,GLN1,CLUG_00455 (GLN1)
CLUG_00457,C3_02090C_A,0,N/A,CLUG_00457
CLUG_00458,CR_06620W_A,0,N/A,CLUG_00458
CLUG_00459,CR_06640C_A,0,N/A,CLUG_00459
CLUG_00461,CR_06840W_A,0,UTP25,CLUG_00461 (UTP25)
CLUG_00462,C1_05820C_A,0,RAD10,CLUG_00462 (RAD10)
CLUG_00463,C1_05810W_A,0,GIM5,CLUG_00463 (GIM5)
CLUG_00464,C1_05800C_A,0,N/A,CLUG_00464
CLUG_00465,C1_05780W_A,0,RSC9,CLUG_00465 (RSC9)
CLUG_00466,C1_05770C_A,3,PRC3,CLUG_00466 (PRC3)
CLUG_00467,C1_05080W_A,7,GPT1,CLUG_00467 (GPT1)
